Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released,Substance,Release Type,Significant,Marker,Year
INC2011-099,Release of Substance,06/27/2011,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27811111,-66.0088056,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-100,Release of Substance,06/27/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-101,Release of Substance,06/27/2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.881317,-66.551169,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-102,Release of Substance,06/27/2011,Gaspereau,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,47.590212,-64.959858,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-104,Release of Substance,06/30/2011,Red Deer,Alberta,NOVA Gas Transmission Ltd.,Closed,52.24822,-113.61774,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-105,Fire,07/07/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96088,-116.46033,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-106,Release of Substance,07/08/2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67653,-109.97885,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-109,Release of Substance,07/22/2011,Caledonia,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.37514774,-62.452671,113,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-114,Release of Substance,08/04/2011,Halifax,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.648901,-63.575335,934,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-115,Release of Substance,08/04/2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.45872,-67.02456,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-116,Fire,08/04/2011,Herbert,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Submitted,50.53923,-107.30765,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-119,Fire,08/06/2011,Consort,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,51.92351,-110.63297,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-120,Fire,08/06/2011,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,51.42256,-110.54117,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-125,Fire,08/09/2011,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,50.0749,-100.00047,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-127,Release of Substance,08/16/2011,Meanook,Alberta,NOVA Gas Transmission Ltd.,Closed,54.46884,-113.21624,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-129,Operation Beyond Design Limits,08/17/2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.768426,-79.485336,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2011
INC2011-131,Fire,08/21/2011,White City,Saskatchewan,TransCanada PipeLines Limited,Submitted,50.39317,-104.40937,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-132,Fire,08/22/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.12635,-117.83833,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-133,Fire,08/23/2011,Manning,Alberta,NOVA Gas Transmission Ltd.,Submitted,57.19241,-118.19542,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-134,Fire,08/29/2011,White City,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.44344,-104.35691,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-135,Release of Substance,08/31/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012,-118.64715,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-136,Serious Injury (NEB or TSB),09/01/2011,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.51138,-79.31036,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2011
INC2011-138,Release of Substance,09/02/2011,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,55.84448,-113.89141,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-141,Release of Substance,09/08/2011,Musquash,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.195347,-66.401993,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-142,Release of Substance,09/09/2011,Albrights Corner,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.022695,-66.189817,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-143,Release of Substance,09/09/2011,Noonan,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.963713,-66.52814,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-146,Fire,09/10/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.50563,-119.56184,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-152,Release of Substance,09/20/2011,Grenfell,Saskatchewan,TransCanada PipeLines Limited,Closed,50.28587,-102.95155,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-153,Release of Substance,09/26/2011,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129009,-66.83136,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-154,Release of Substance,09/28/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83025,-118.64722,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-155,Release of Substance,10/01/2011,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87391,-79.58006,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-157,Fatality,10/12/2011,Sarnia,Ontario,Niagara Gas Transmission Limited,Submitted,42.97508,-82.40654,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2011
INC2011-158,Release of Substance,10/13/2011,Tulita,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,64.65833,-124.83612,0.0005,Propane,Gas,No,small_green,2011
INC2011-160,Operation Beyond Design Limits,10/14/2011,Windsor,Ontario,Ethane Shippers Joint Venture,Closed,42.280509,-83.077658,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2011
INC2011-162,Release of Substance,10/19/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.87793,-123.98697,Not Provided,Mixed HVP Hydrocarbons,Gas,No,small_green,2011
INC2011-163,Release of Substance,10/19/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.261177,-123.402616,0.001,Propane,Gas,No,small_green,2011
INC2011-165,Fire,10/24/2011,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.25906,-103.70813,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-166,Release of Substance,10/26/2011,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Closed,50.90519,-112.10804,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-167,Fire,10/31/2011,Hearst,Ontario,TransCanada PipeLines Limited,Submitted,49.67061,-83.65592,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-168,Fire,11/04/2011,Yahk,British Columbia,Foothills Pipe Lines Ltd.,Closed,49.07839,-116.10601,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-171,Release of Substance,11/20/2011,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,54.14314,-115.36091,50,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-172,Release of Substance,11/20/2011,Donnelly,Alberta,NOVA Gas Transmission Ltd.,Closed,55.72877,-117.08296,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-173,Release of Substance,11/21/2011,Calstock,Ontario,TransCanada PipeLines Limited,Closed,49.74457,-84.06787,4,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-174,Fire,11/21/2011,Maple,Ontario,TransCanada PipeLines Limited,Submitted,43.87391,-79.57983,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-175,Operation Beyond Design Limits,11/24/2011,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Submitted,49.91197,-98.51779,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2011
INC2011-177,Fire,12/02/2011,Fort Frances,Ontario,Centra Transmission Holdings Inc.,Closed,48.613425,-93.417778,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-178,Release of Substance,12/05/2011,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.375736,-79.239306,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-179,Release of Substance,12/06/2011,Amisk,Alberta,NOVA Gas Transmission Ltd.,Submitted,52.54673,-111.03052,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-180,Release of Substance,12/07/2011,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.54445,-99.3207,7,Crude Oil - Sweet,Liquid,No,small_blue,2011
INC2011-183,Release of Substance,12/14/2011,Steelman,Saskatchewan,Enbridge Pipelines (Westspur) Inc.,Closed,49.28813,-102.63736,2,Crude Oil - Sweet,Liquid,No,small_blue,2011
INC2011-185,Release of Substance,12/20/2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.26712,-91.23269,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-186,Release of Substance,12/21/2011,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.251566,-66.097871,236,Natural Gas - Sweet,Gas,No,small_green,2011
INC2012-002,Release of Substance,01/04/2012,Kapuskasing,Ontario,TransCanada PipeLines Limited,Closed,49.3881,-82.43604,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-003,Release of Substance,01/06/2012,Burlington,Ontario,TransCanada PipeLines Limited,Closed,43.37273,-79.83172,6,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-004,Operation Beyond Design Limits,01/07/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.5467,-113.35465,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-005,Serious Injury (NEB or TSB),01/09/2012,Fort Nelson,British Columbia,NOVA Gas Transmission Ltd.,Closed,59.04522,-121.26857,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2012
INC2012-006,Release of Substance,01/10/2012,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.04676,-78.00709,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-007,Release of Substance,01/15/2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.70181,-121.63465,Not Provided,Natural Gas - Sour,Gas,No,small_green,2012
INC2012-009,Operation Beyond Design Limits,01/17/2012,Clearwater,British Columbia,Trans Mountain Pipeline ULC,Closed,51.5659,-120.16191,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-010,Release of Substance,01/18/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19155,-118.19433,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-011,Fire,01/20/2012,Prespatou,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36771,-119.75255,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-013,Fire,01/19/2012,Assumption,Alberta,NOVA Gas Transmission Ltd.,Closed,57.37269,-119.13156,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-014,Fire,01/19/2012,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.86534,-109.02627,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-015,Fire,01/21/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.38062,-119.18572,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-016,Release of Substance,01/24/2012,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Closed,49.07801,-122.20215,90,Crude Oil - Sweet,Liquid,No,small_blue,2012
INC2012-017,"Fire, Release of Substance",01/25/2012,Fort Nelson,British Columbia,NOVA Gas Transmission Ltd.,Closed,59.20208,-121.62187,0.001,Propane,Gas,No,small_yellow,2012
INC2012-018,Fire,01/25/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.19745,-110.86556,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-019,Release of Substance,01/26/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-020,Serious Injury (NEB or TSB),01/27/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.25495,-110.89551,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2012
INC2012-021,Release of Substance,02/03/2012,Shaunavon,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.78627,-108.72239,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-022,"Fire, Release of Substance",02/03/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.18776,-110.86149,Not Provided,Mixed HVP Hydrocarbons,Gas,No,small_yellow,2012
INC2012-023,Fire,02/06/2012,Thorndale,Ontario,Enbridge Pipelines Inc.,Closed,43.14439,-81.21239,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-024,Fire,02/07/2012,Burstall,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,50.66225,-110.01655,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-026,Serious Injury (NEB or TSB),02/09/2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.697588,-121.629633,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2012
INC2012-027,Release of Substance,02/13/2012,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82818,-93.63726,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-028,Release of Substance,02/13/2012,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82797,-93.63666,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-029,Release of Substance,02/15/2012,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.895524,-66.542645,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-031,Fire,02/16/2012,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29549,-88.10056,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-032,Release of Substance,02/21/2012,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44682,-79.76273,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-038,Release of Substance,02/29/2012,Athabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,54.64742,-112.80015,65,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-040,Release of Substance,03/01/2012,Brandon,Manitoba,TransCanada PipeLines Limited,Closed,50.07461,-100.00038,1400,Fuel Gas,Gas,No,small_green,2012
INC2012-041,Release of Substance,03/02/2012,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.7578,-118.30145,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-043,Fire,03/09/2012,Burstall,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,50.71038,-110.10574,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-044,Operation Beyond Design Limits,03/13/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54727,-113.35571,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-045,Release of Substance,03/13/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-048,Release of Substance,03/29/2012,Whitburn,Alberta,NOVA Gas Transmission Ltd.,Closed,55.81522,-119.36594,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-049,Release of Substance,03/30/2012,Iroquois,Ontario,TransCanada PipeLines Limited,Closed,44.88671,-75.29431,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2009-153,Serious Injury (NEB or TSB),04/12/2012,Manitou,Manitoba,Enbridge Pipelines Inc.,Submitted,49.316926,-98.554895,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-154,Serious Injury (NEB or TSB),04/12/2012,Brandon,Manitoba,Enbridge Pipelines Inc.,Submitted,49.848471,-99.95009,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-155,Serious Injury (NEB or TSB),04/12/2012,Winkler,Manitoba,Enbridge Pipelines Inc.,Submitted,49.18011,-97.938947,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2012-051,Release of Substance,04/13/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27614,-66.02945,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-053,Fire,04/23/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54746,-113.35569,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-054,Operation Beyond Design Limits,04/23/2012,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.693367,-79.609444,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-056,Release of Substance,05/03/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.23904,-66.1031,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-057,Fire,05/05/2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.64991,-122.20723,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-059,Release of Substance,05/08/2012,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.830521,-118.647866,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-060,Release of Substance,05/09/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.258307,-66.093651,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-061,Release of Substance,05/09/2012,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Closed,55.16008,-117.8411,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-062,Fire,05/14/2012,Glenavon,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.18704,-103.17201,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-063,Release of Substance,05/14/2012,Matheson,Ontario,TransCanada PipeLines Limited,Closed,48.41782,-80.33662,200,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-064,Release of Substance,05/15/2012,Medicine Hat,Alberta,NOVA Gas Transmission Ltd.,Closed,50.08985,-110.72397,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-065,Release of Substance,05/16/2012,Mattice,Ontario,TransCanada PipeLines Limited,Closed,49.58892,-83.16656,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-067,Fire,05/28/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.34678,-116.87308,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-068,Release of Substance,05/30/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36666,-119.75241,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-069,Operation Beyond Design Limits,05/31/2012,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96051,-116.46002,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-070,Serious Injury (NEB or TSB),06/06/2012,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.81403,-120.86935,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2012
INC2012-071,Fire,06/08/2012,Oshawa,Ontario,TransCanada PipeLines Limited,Closed,43.95786,-78.60959,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-072,Fire,06/08/2012,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.65396,-111.26847,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-073,Release of Substance,06/13/2012,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29567,-88.10151,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-074,Release of Substance,06/15/2012,Port Elgin,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.98763,-64.14375,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-075,Release of Substance,06/15/2012,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.98763,-64.14375,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-078,"Serious Injury (NEB or TSB), Fire, Release of Substance",06/23/2012,Hudson's Hope,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.4714,-122.11376,Not Provided,Natural Gas - Sweet,Gas,Yes,small_red,2012
INC2012-080,Explosion,06/28/2012,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,56.46368,-112.84413,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-081,"Fire, Release of Substance",06/29/2012,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.06925,-121.63939,Not Provided,Natural Gas - Sweet,Gas,Yes,small_green,2012
INC2012-082,Release of Substance,06/29/2012,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27789,-120.97802,Not Provided,Natural Gas - Sour,Gas,No,small_green,2012
INC2012-083,Explosion,07/04/2012,Paddle Prairie,Alberta,TransCanada PipeLines Limited,Closed,57.87538,-118.41276,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-084,Explosion,07/04/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.34676,-116.87305,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-086,Release of Substance,07/11/2012,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83015,-118.64728,5,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-088,Fire,02/02/2012,Rocky Mountain House,Alberta,NOVA Gas Transmission Ltd.,Closed,52.50498,-115.48418,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-090,Explosion,07/16/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36127,-119.75155,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-091,Release of Substance,07/18/2012,Grenfell,Saskatchewan,TransCanada PipeLines Limited,Closed,50.28593,-102.95152,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-093,Explosion,07/26/2012,Lodgepole,Alberta,NOVA Gas Transmission Ltd.,Closed,53.03778,-115.27248,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-095,Explosion,07/27/2012,Regina,Saskatchewan,TransCanada PipeLines Limited,Closed,50.40093,-104.77915,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-097,Fire,07/31/2012,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48156,-91.95934,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-098,Release of Substance,08/01/2012,Douglastown,Ontario,TransCanada PipeLines Limited,Closed,43.00477,-79.05065,100,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-099,Release of Substance,08/03/2012,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.27916,-66.09058,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-100,Release of Substance,08/07/2012,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.88692,-66.5514,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-101,Fire,08/09/2012,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.86562,-109.02627,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-106,Fire,08/16/2012,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.48217,-119.92404,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-107,Release of Substance,08/20/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.23904,-66.1032,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-109,Release of Substance,08/21/2012,Jellicoe,Ontario,TransCanada PipeLines Limited,Closed,49.69204,-87.24486,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-110,Fire,08/21/2012,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.58466,-107.91601,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-111,Release of Substance,08/22/2012,Airdrie,Alberta,TransCanada PipeLines Limited,Closed,51.40776,-113.65548,34.9,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-112,Fire,08/23/2012,Cabri,Saskatchewan,TransCanada PipeLines Limited,Closed,50.5882,-108.45721,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-114,Release of Substance,08/25/2012,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48139,-91.95966,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-115,Release of Substance,08/27/2012,Elmworth,Alberta,Burlington Resources Canada (Hunter) Ltd.,Closed,55.09204,-119.85311,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-116,Release of Substance,08/29/2012,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.087816,-64.778231,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-118,Fire,09/07/2012,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.544121,-99.314964,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-119,Fire,09/07/2012,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.454722,-104.606667,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-121,Release of Substance,09/10/2012,Musquash,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.19227,-66.40471,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-122,Fire,09/12/2012,Caronport,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Closed,50.48071,-105.86698,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-123,Release of Substance,09/17/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.239404,-66.102907,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-124,Release of Substance,09/18/2012,Shaunavon,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.98,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
