Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance,Release Type,Significant,Year,Occurrence Date,Discovered Date,Detailed immediate cause,Immediate cause category,Detailed basic cause,Basic cause category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2012-135,Fire,9/30/2012,Vaughan,Ontario,TransCanada PipeLines Limited,Closed,43.87374,-79.57984,Not Applicable,Not Applicable,Not Applicable,No,2012,2012/09/28 10:30:00 AM Eastern,2012/09/28 10:30:00 AM Mountain,"Substandard Conditions,Fire and explosion hazards",Operating Conditions,"Job or system factors,Inadequate work standards,Inadequate maintenance of standards,Monitoring use of procedures or practices or rules",Standards and Procedures,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Fire,NULL,NULL,NULL,No,NULL,Under Investigation or Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,TCPL - Station 130 (Maple Compressor Station),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-137,Release of Substance,10/2/2012,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07455,-100.00074,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/10/02 10:00:00 AM Mountain,"Damage or deterioration mechanism,Construction,Defective Pipe or Component Body",Material Defect,"Job or system factors,Excessive wear and tear,Improper loading or rate of use",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,TCPL - Station 30 (Rapid City Compressor Station),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Compression,Fitting",NULL,8-Mar,Stainless Steel,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-138,Release of Substance,10/2/2012,Carberry,Manitoba,TransCanada PipeLines Limited,Closed,50.024295,-99.454233,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/10/02 02:00:00 PM Mountain,"Damage or deterioration mechanism,Construction,Defective Other Joint",Material Defect,"Job or system factors,Inadequate engineering,Inadequate standards, specifications and/or design criteria",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,TCPL - Neepawa Meter Station,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Metering,Delivering,Fitting",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Replacement,NULL,No,NULL,NULL,No,No,NULL,Replacement,No
INC2012-139,Operation Beyond Design Limits,10/3/2012,Hines Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,56.55718,-119.02232,Not Applicable,Not Applicable,Not Applicable,No,2012,NULL,2012/10/02 08:23:00 AM Mountain,"Damage or deterioration mechanism,Other Causes,Improper Operation;Substandard Acts,Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors,Lack of knowledge,Lack of situational awareness",Individual Factors,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Inappropriate Product,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision 7-22-87-7-W6M,Level I,Category A,No,NULL,"Station/Facility,Pumping,Pump",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-140,Release of Substance,10/4/2012,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Closed,50.74405,-112.06708,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/10/04 10:25:00 AM Mountain,"Damage or deterioration mechanism,Material Loss,External Material Loss",External Corrosion ,"Job or system factors,Excessive wear and tear,Inadequate inspection and/or monitoring",Maintenance,NULL,NULL,NULL,Landowner,00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level II,Category B,No,NULL,"Pipeline,Pipe,Body",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-141,Release of Substance,10/4/2012,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48045,-104.57805,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/10/04 01:02:00 PM Central,"Damage or deterioration mechanism,Equipment;Substandard Conditions,Inadequate ventilation","Equipment Failure, Operating Conditions","Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs;Job or system factors,Inadequate work standards,Inadequate maintenance of standards,Monitoring use of procedures or practices or rules","Maintenance, Standards and Procedures",NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,EPI - Regina Terminal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Metering,Delivering,Densitometer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-142,Fire,10/5/2012,Caroline,Alberta,NOVA Gas Transmission Ltd.,Closed,52.06411,-114.91249,Not Applicable,Not Applicable,Not Applicable,No,2012,NULL,2012/10/04 09:00:00 AM Mountain,"Substandard Acts,Improper placement",Incorrect Operation,"Personal factors,Lack of knowledge,Lack of experience",Individual Factors,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Fire,NULL,NULL,NULL,No,NULL,Under Investigation or Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Compression,Compressor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-144,Release of Substance,10/9/2012,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.72752728,-95.125515,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/10/09 09:30:00 AM Mountain,2012/10/09 05:15:00 PM Mountain,"Damage or deterioration mechanism,Cracking,Mechanical Damage Delayed Cracking",Cracking ,"Job or system factors,Inadequate engineering,Inadequate monitoring of construction",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,LINE 100-1,"863.60000000, 762.00000000, 508.00000000",2595.724534,Natural Gas,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km) TCPL-MLV 46-1+1.280,Level I,Category A,No,NULL,"Pipeline,Pipe,Body",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Replacement,NULL,No,NULL,NULL,No,No,NULL,Replacement,No
INC2012-146,Operation Beyond Design Limits,10/22/2012,Swan Hill,Alberta,NOVA Gas Transmission Ltd.,Closed,54.539693,-115.919971,Not Applicable,Not Applicable,Not Applicable,No,2012,NULL,2012/10/21 08:16:00 AM Mountain,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Inadequate engineering,Inadequate standards, specifications and/or design criteria",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Inappropriate Product,NULL,0,OPR,NGTL - Virginia Hills Meter Station,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Metering,Delivering,Valve",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-148,Operation Beyond Design Limits,10/27/2012,Rosetown,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.482482,-107.525115,Not Applicable,Not Applicable,Not Applicable,No,2012,2012/10/27 09:40:00 AM Mountain,2012/10/27 09:40:00 AM Mountain,"Damage or deterioration mechanism,External Interference,Third Party",External Interference,"Job or system factors,Inadequate engineering,Inadequate standards, specifications and/or design criteria",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,No,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Over Pressure,NULL,0,OPR,EPI - Milden Takeoff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mile Post 288.8,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-149,Release of Substance,10/29/2012,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.95261,-82.37433,7.44,Crude Oil - Sour,Liquid,No,2012,2012/10/29 12:00:00 AM Mountain,2012/10/29 08:35:00 AM Eastern,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Inadequate maintenance,Inadequate preventive,Lubrication and servicing",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Crude Oil - Sour,7.44,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Enbridge Sarnia Terminal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Storage,Tank,Aboveground",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Rebuilt,10/31/2012,No,NULL,NULL,No,No,10/31/2012,Repair,No
INC2012-150,Release of Substance,10/29/2012,Kapuskasing,Ontario,TransCanada PipeLines Limited,Closed,49.38796,-82.43616,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/10/25 08:35:00 AM Eastern,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Inadequate engineering,Inadequate monitoring of construction",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,LINE 100-1,"863.60000000, 762.00000000, 508.00000000",2595.724534,Natural Gas,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Compression,Valve",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-151,Release of Substance,10/29/2012,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.04178,-114.46266,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/10/29 12:00:00 AM Mountain,2012/10/29 09:10:00 AM Mountain,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NGTL - Mitsue South Lateral,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-152,Release of Substance,11/1/2012,Moyie,British Columbia,TransCanada PipeLines Limited B.C. System,Closed,49.238462,-115.855313,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/10/31 02:10:00 PM Mountain,2012/10/31 02:10:00 PM Mountain,"Damage or deterioration mechanism,Material or Manufacturing,Defective Pipe or Component Body",Material Defect,"Job or system factors,Inadequate maintenance,Inadequate reparative,Part substitution",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,"TCPL, BC - Station 2B (Moyie Compressor Station)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Kilometer Post,Level I,Category A,No,NULL,"Station/Facility,Compression,Pipe",NULL,NULL,Stainless Steel,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-153,Release of Substance,11/1/2012,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.26029388,-115.2028366,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/11/01 12:15:00 PM Mountain,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Excessive wear and tear,Inadequate maintenance",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-154,Release of Substance,11/8/2012,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,Not Provided,Natural Gas - Sweet,Gas,No,2012,NULL,2012/11/08 08:30:00 AM Atlantic,"Damage or deterioration mechanism,Material or Manufacturing,Defective Pipe or Component Body",Material Defect,"Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Mainline,"863.60000000, 762.00000000",574.8807991,Natural Gas,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km),Level I,Category A,No,NULL,"Pipeline,Valve,Gate,Other (please explain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Rebuilt,11/8/2012,No,NULL,NULL,No,No,11/8/2012,Repair,No
INC2012-155,Fire,11/12/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36002,-119.74979,Not Applicable,Not Applicable,Not Applicable,No,2012,2012/11/12 12:01:00 AM Mountain,2012/11/12 12:01:00 AM Mountain,"Substandard Conditions,Defective tools, equipment or materials",Operating Conditions,"Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Fire,NULL,NULL,NULL,No,NULL,Equipment & Electrical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NGTL - Hidden Lake Compressor Station,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-156,Release of Substance,11/14/2012,Salisbury,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.050194,-65.259182,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/11/14 04:30:00 PM Atlantic,2012/11/14 04:30:00 PM Atlantic,"Damage or deterioration mechanism,Equipment",Equipment Failure,"Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,MNE - Corridor Meter Station,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Kilometer Post 3.6,Level I,Category A,No,NULL,"Station/Facility,Metering,Delivering,Auxiliary device(s) (please explain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-157,Release of Substance,11/15/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.043732,-117.421244,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/11/15 07:30:00 AM Mountain,2012/11/15 07:30:00 AM Mountain,"Damage or deterioration mechanism,Cracking,Corrosion Fatigue",Cracking ,"Job or system factors,Inadequate engineering,Inadequate standards, specifications and/or design criteria",Engineering and Planning,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NGTL - Berland River Compressor Station,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Pipeline,Valve,Ball,Body",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-158,Release of Substance,11/18/2012,Shaunavon,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.98008,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,2012,2012/11/17 12:35:00 PM Mountain,2012/11/17 12:35:00 PM Mountain,"Damage or deterioration mechanism,Equipment,Valve Seals or Packing",Equipment Failure,"Job or system factors,Inadequate maintenance,Inadequate preventive,Assessment of needs",Maintenance,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Foothills - Piapot Saskatchewan Compressor Stn 392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,"Station/Facility,Compression,Valve",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-159,Release of Substance,11/18/2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.15019444,-121.4512055,Not Provided,Natural Gas - Sour,Gas,No,2012,2012/11/17 09:00:00 PM Mountain,2012/11/17 11:11:00 PM Mountain,"Damage or deterioration mechanism,Cracking,Stress Corrosion Cracking",Cracking ,"Job or system factors,Excessive wear and tear,Inadequate inspection and/or monitoring;Job or system factors,Inadequate maintenance,Inadequate reparative,Part substitution;Job or system factors,Inadequate work standards,Inadequate development of standards,Procedures or practices or rules","Maintenance, Standards and Procedures",NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,No,No,Release of Substance,Natural Gas - Sour,0,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Bullmoose Pipeline,219.1,7.99857685,Natural Gas,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2012-161,Fire,11/22/2012,Kitchener,Ontario,TransCanada PipeLines Limited,Closed,43.406032,-80.43846,Not Applicable,Not Applicable,Not Applicable,No,2012,2012/11/21 07:30:00 AM Mountain,2012/11/21 07:30:00 AM Mountain,"Substandard Conditions,Fire and explosion hazards",Operating Conditions,"Job or system factors,Inadequate work standards,Inadequate maintenance of standards,Monitoring use of procedures or practices or rules",Standards and Procedures,NULL,NULL,NULL,Employee / Contractor (Other),00:00.0,Yes,No,Fire,NULL,NULL,NULL,No,NULL,Under Investigation or Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision,Level I,Category A,No,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
